"YEAR","state","Type_of_Producer","Total","Coal","HydroElectric","Gas","Petroleum","Wind","wood","Nuclear","biomass","Other Gases","Pumped Storage","Geothermal","Other","Solar","GeoFips","GeoName","GdpinMioUSD","SunHours","sunUnit","AvgWindSpeed","UnitWind","Population","EducationIndex","dem_percent","rep_percent"
1990,"KY","Electric Generators, Electric Utilities",73807286,70500461,3160383,27796,118646,0,0,0,0,0,0,0,0,0,"21000","Kentucky",212539.6,"4.94","hours","16.26","mph"," 4,383,272","13.04",36.2,62.1
1990,"LA","Total Electric Power Industry",76465630,17856687,656492,39474866,232098,0,2223538,14196784,91646,440700,0,0,1292819,0,"22000","Louisiana",235437.4,"4.92","hours","13.60","mph"," 4,601,049","12.96",39.9,58.5
1990,"LA","Electric Generators, Independent Power Producers",865775,0,656492,28014,89623,0,0,0,91646,0,0,0,0,0,"22000","Louisiana",235437.4,"4.92","hours","13.60","mph"," 4,601,049","12.96",39.9,58.5
1990,"LA","Electric Generators, Electric Utilities",58168408,17800084,0,26041280,130260,0,0,14196784,0,0,0,0,0,0,"22000","Louisiana",235437.4,"4.92","hours","13.60","mph"," 4,601,049","12.96",39.9,58.5
1990,"LA","Combined Heat and Power, Industrial Power",15797113,56603,0,11771238,12215,0,2223538,0,0,440700,0,0,1292819,0,"22000","Louisiana",235437.4,"4.92","hours","13.60","mph"," 4,601,049","12.96",39.9,58.5
1990,"LA","Combined Heat and Power, Electric Power",1603665,0,0,1603665,0,0,0,0,0,0,0,0,0,0,"22000","Louisiana",235437.4,"4.92","hours","13.60","mph"," 4,601,049","12.96",39.9,58.5
1990,"LA","Combined Heat and Power, Commercial Power",30669,0,0,30669,0,0,0,0,0,0,0,0,0,0,"22000","Louisiana",235437.4,"4.92","hours","13.60","mph"," 4,601,049","12.96",39.9,58.5
1990,"MA","Total Electric Power Industry",39811011,11365893,1249242,6132702,15101792,0,0,5069620,1560515,830,-669583,0,0,0,"25000","Massachusetts",582476.8,"3.84","hours","15.76","mph"," 6,657,291","14.18",65.6,32.1
1990,"MA","Electric Generators, Independent Power Producers",1729309,0,268881,6403,8101,0,0,0,1445924,0,0,0,0,0,"25000","Massachusetts",582476.8,"3.84","hours","15.76","mph"," 6,657,291","14.18",65.6,32.1
1990,"MA","Electric Generators, Electric Utilities",36478610,11273069,969108,5279993,14556403,0,0,5069620,0,0,-669583,0,0,0,"25000","Massachusetts",582476.8,"3.84","hours","15.76","mph"," 6,657,291","14.18",65.6,32.1
1990,"MA","Combined Heat and Power, Industrial Power",546661,39187,11253,240711,185772,0,0,0,69738,0,0,0,0,0,"25000","Massachusetts",582476.8,"3.84","hours","15.76","mph"," 6,657,291","14.18",65.6,32.1
1990,"MA","Combined Heat and Power, Electric Power",750576,53637,0,592055,59209,0,0,0,44845,830,0,0,0,0,"25000","Massachusetts",582476.8,"3.84","hours","15.76","mph"," 6,657,291","14.18",65.6,32.1
1990,"MA","Combined Heat and Power, Commercial Power",305855,0,0,13540,292307,0,0,0,8,0,0,0,0,0,"25000","Massachusetts",582476.8,"3.84","hours","15.76","mph"," 6,657,291","14.18",65.6,32.1
1990,"MD","Total Electric Power Industry",33162292,23509862,2298910,1522443,3571272,0,149118,1251416,371074,488197,0,0,0,0,"24000","Maryland",410674.7,"4.47","hours","19.74","mph"," 5,887,776","14.08",65.4,32.2
1990,"MD","Electric Generators, Independent Power Producers",19857,0,0,0,0,0,0,0,19857,0,0,0,0,0,"24000","Maryland",410674.7,"4.47","hours","19.74","mph"," 5,887,776","14.08",65.4,32.2
1990,"MD","Electric Generators, Electric Utilities",31497406,23299412,2298910,1319588,3328080,0,0,1251416,0,0,0,0,0,0,"24000","Maryland",410674.7,"4.47","hours","19.74","mph"," 5,887,776","14.08",65.4,32.2
1990,"MD","Combined Heat and Power, Industrial Power",347398,183267,0,28381,4102,0,131648,0,0,0,0,0,0,0,"24000","Maryland",410674.7,"4.47","hours","19.74","mph"," 5,887,776","14.08",65.4,32.2
1990,"MD","Combined Heat and Power, Electric Power",1227014,0,0,174474,229519,0,0,0,334824,488197,0,0,0,0,"24000","Maryland",410674.7,"4.47","hours","19.74","mph"," 5,887,776","14.08",65.4,32.2
1990,"MD","Combined Heat and Power, Commercial Power",70617,27183,0,0,9571,0,17470,0,16393,0,0,0,0,0,"24000","Maryland",410674.7,"4.47","hours","19.74","mph"," 5,887,776","14.08",65.4,32.2
1990,"ME","Total Electric Power Industry",15946014,453218,4090536,50786,3081100,0,3048849,4860727,360798,0,0,0,0,0,"23000","Maine",69271.8,"4.51","hours","16.95","mph"," 1,328,535","13.68",53.1,44
1990,"ME","Electric Generators, Independent Power Producers",1880019,0,636300,13277,1738,0,1033641,0,195063,0,0,0,0,0,"23000","Maine",69271.8,"4.51","hours","16.95","mph"," 1,328,535","13.68",53.1,44
1990,"ME","Electric Generators, Electric Utilities",9063595,0,2110064,0,2092804,0,0,4860727,0,0,0,0,0,0,"23000","Maine",69271.8,"4.51","hours","16.95","mph"," 1,328,535","13.68",53.1,44
1990,"ME","Combined Heat and Power, Industrial Power",4361911,186945,1344172,37509,975643,0,1787993,0,29649,0,0,0,0,0,"23000","Maine",69271.8,"4.51","hours","16.95","mph"," 1,328,535","13.68",53.1,44
1990,"ME","Combined Heat and Power, Electric Power",473221,266273,0,0,8768,0,198180,0,0,0,0,0,0,0,"23000","Maine",69271.8,"4.51","hours","16.95","mph"," 1,328,535","13.68",53.1,44
1990,"ME","Combined Heat and Power, Commercial Power",167268,0,0,0,2147,0,29035,0,136086,0,0,0,0,0,"23000","Maine",69271.8,"4.51","hours","16.95","mph"," 1,328,535","13.68",53.1,44
1990,"MI","Total Electric Power Industry",100059737,67066870,1627918,7837956,861725,0,1097963,21610500,310842,340949,-694986,0,0,0,"26000","Michigan",515119.9,"4.0","hours","17.50","mph"," 9,889,024","13.59",50.6,47.8
1990,"MI","Electric Generators, Independent Power Producers",638997,0,111986,4014,0,0,387900,0,135097,0,0,0,0,0,"26000","Michigan",515119.9,"4.0","hours","17.50","mph"," 9,889,024","13.59",50.6,47.8
1990,"MI","Electric Generators, Electric Utilities",89058681,65295742,1492822,665142,689461,0,0,21610500,0,0,-694986,0,0,0,"26000","Michigan",515119.9,"4.0","hours","17.50","mph"," 9,889,024","13.59",50.6,47.8
1990,"MI","Combined Heat and Power, Industrial Power",3597090,1378933,23110,978650,169150,0,704862,0,1436,340949,0,0,0,0,"26000","Michigan",515119.9,"4.0","hours","17.50","mph"," 9,889,024","13.59",50.6,47.8
1990,"MI","Combined Heat and Power, Electric Power",6353648,186085,0,6162052,310,0,5201,0,0,0,0,0,0,0,"26000","Michigan",515119.9,"4.0","hours","17.50","mph"," 9,889,024","13.59",50.6,47.8
1990,"MI","Combined Heat and Power, Commercial Power",411321,206110,0,28098,2804,0,0,0,174309,0,0,0,0,0,"26000","Michigan",515119.9,"4.0","hours","17.50","mph"," 9,889,024","13.59",50.6,47.8
1990,"MN","Total Electric Power Industry",43070376,28176280,857046,539839,447814,266,425018,12139302,484811,0,0,0,0,0,"27000","Minnesota",373739.3,"4.53","hours","18.51","mph"," 5,383,661","14.00",52.4,45.3
1990,"MN","Electric Generators, Independent Power Producers",239507,0,27794,4473,0,0,0,0,207240,0,0,0,0,0,"27000","Minnesota",373739.3,"4.53","hours","18.51","mph"," 5,383,661","14.00",52.4,45.3
1990,"MN","Electric Generators, Electric Utilities",41549628,27587603,657574,326083,440740,266,147697,12139302,250363,0,0,0,0,0,"27000","Minnesota",373739.3,"4.53","hours","18.51","mph"," 5,383,661","14.00",52.4,45.3
1990,"MN","Combined Heat and Power, Industrial Power",1180120,588677,171678,130644,4543,0,277321,0,7257,0,0,0,0,0,"27000","Minnesota",373739.3,"4.53","hours","18.51","mph"," 5,383,661","14.00",52.4,45.3
1990,"MN","Combined Heat and Power, Commercial Power",101121,0,0,78639,2531,0,0,0,19951,0,0,0,0,0,"27000","Minnesota",373739.3,"4.53","hours","18.51","mph"," 5,383,661","14.00",52.4,45.3
1990,"MO","Total Electric Power Industry",59352830,48796793,2192115,312109,90033,0,0,7998039,0,0,-36259,0,0,0,"29000","Missouri",329367.2,"4.73","hours","19.31","mph"," 6,028,076","13.49",41.4,56.8
1990,"MO","Electric Generators, Electric Utilities",59010858,48501751,2192115,265870,89342,0,0,7998039,0,0,-36259,0,0,0,"29000","Missouri",329367.2,"4.73","hours","19.31","mph"," 6,028,076","13.49",41.4,56.8
1990,"MO","Combined Heat and Power, Industrial Power",184016,138386,0,45104,526,0,0,0,0,0,0,0,0,0,"29000","Missouri",329367.2,"4.73","hours","19.31","mph"," 6,028,076","13.49",41.4,56.8
1990,"MO","Combined Heat and Power, Commercial Power",157956,156656,0,1135,165,0,0,0,0,0,0,0,0,0,"29000","Missouri",329367.2,"4.73","hours","19.31","mph"," 6,028,076","13.49",41.4,56.8
1990,"MS","Total Electric Power Industry",25201417,9526527,0,5919664,738971,0,1594124,7422131,0,0,0,0,0,0,"28000","Mississippi",113845.7,"4.44","hours","15.19","mph"," 2,984,345","12.94",41.1,57.6
1990,"MS","Electric Generators, Electric Utilities",22923971,9445584,0,5350782,705474,0,0,7422131,0,0,0,0,0,0,"28000","Mississippi",113845.7,"4.44","hours","15.19","mph"," 2,984,345","12.94",41.1,57.6
